date,open,high,low,close,adj close,volume
2024-01-02,4745.2001953125,4754.330078125,4722.669921875,4742.830078125,4742.830078125,3743050000
2024-01-03,4725.06982421875,4729.2900390625,4699.7099609375,4704.81005859375,4704.81005859375,3950760000
2024-01-04,4697.419921875,4726.77978515625,4687.52978515625,4688.68017578125,4688.68017578125,3715480000
2024-01-05,4690.56982421875,4721.490234375,4682.10986328125,4697.240234375,4697.240234375,3844370000
2024-01-08,4703.7001953125,4764.5400390625,4699.81982421875,4763.5400390625,4763.5400390625,3742320000
2024-01-09,4741.93017578125,4765.47021484375,4730.35009765625,4756.5,4756.5,3529960000
2024-01-10,4759.93994140625,4790.7998046875,4756.2001953125,4783.4501953125,4783.4501953125,3498680000
2024-01-11,4792.1298828125,4798.5,4739.580078125,4780.240234375,4780.240234375,3759890000
2024-01-12,4791.18017578125,4802.39990234375,4768.97998046875,4783.830078125,4783.830078125,3486340000
2024-01-16,4772.35009765625,4782.33984375,4747.1201171875,4765.97998046875,4765.97998046875,4260550000
2024-01-17,4739.1298828125,4744.22998046875,4714.81982421875,4739.2099609375,4739.2099609375,3928600000
2024-01-18,4760.10009765625,4785.7900390625,4740.56982421875,4780.93994140625,4780.93994140625,4019000000
2024-01-19,4796.27978515625,4842.06982421875,4785.8701171875,4839.81005859375,4839.81005859375,4287200000
2024-01-22,4853.419921875,4868.41015625,4844.0498046875,4850.43017578125,4850.43017578125,4297610000
2024-01-23,4856.7998046875,4866.47998046875,4844.3701171875,4864.60009765625,4864.60009765625,3912800000
2024-01-24,4888.56005859375,4903.68017578125,4865.93994140625,4868.5498046875,4868.5498046875,4330030000
2024-01-25,4886.66015625,4898.14990234375,4869.33984375,4894.16015625,4894.16015625,4020430000
2024-01-26,4888.91015625,4906.68994140625,4881.47021484375,4890.97021484375,4890.97021484375,3353400000
2024-01-29,4892.9501953125,4929.31005859375,4887.39990234375,4927.93017578125,4927.93017578125,3525160000
2024-01-30,4925.89013671875,4931.08984375,4916.27001953125,4924.97021484375,4924.97021484375,3836130000
2024-01-31,4899.18994140625,4906.75,4845.14990234375,4845.64990234375,4845.64990234375,4696120000
2024-02-01,4861.10986328125,4906.97021484375,4853.52001953125,4906.18994140625,4906.18994140625,4386090000
2024-02-02,4916.06005859375,4975.2900390625,4907.990234375,4958.60986328125,4958.60986328125,3974350000
2024-02-05,4957.18994140625,4957.18994140625,4918.08984375,4942.81005859375,4942.81005859375,4023640000
2024-02-06,4950.16015625,4957.77001953125,4934.8798828125,4954.22998046875,4954.22998046875,4440880000
2024-02-07,4973.0498046875,4999.89013671875,4969.0498046875,4995.06005859375,4995.06005859375,4895590000
2024-02-08,4995.16015625,5000.39990234375,4987.08984375,4997.91015625,4997.91015625,4341860000
2024-02-09,5004.169921875,5030.06005859375,5000.33984375,5026.60986328125,5026.60986328125,3912990000
2024-02-12,5026.830078125,5048.39013671875,5016.830078125,5021.83984375,5021.83984375,3805740000
2024-02-13,4967.93994140625,4971.2998046875,4920.31005859375,4953.169921875,4953.169921875,4302190000
2024-02-14,4976.43994140625,5002.52001953125,4956.4501953125,5000.6201171875,5000.6201171875,3845600000
2024-02-15,5003.14013671875,5032.72021484375,4999.43994140625,5029.72998046875,5029.72998046875,4137970000
2024-02-16,5031.1298828125,5038.7001953125,4999.52001953125,5005.56982421875,5005.56982421875,3833270000
2024-02-20,4989.31982421875,4993.7099609375,4955.02001953125,4975.509765625,4975.509765625,4034880000
2024-02-21,4963.02978515625,4983.2099609375,4946.0,4981.7998046875,4981.7998046875,3788390000
2024-02-22,5038.830078125,5094.39013671875,5038.830078125,5087.02978515625,5087.02978515625,4051710000
2024-02-23,5100.919921875,5111.06005859375,5081.4599609375,5088.7998046875,5088.7998046875,3672790000
2024-02-26,5093.0,5097.66015625,5068.91015625,5069.52978515625,5069.52978515625,3683930000
2024-02-27,5074.60009765625,5080.68994140625,5057.2900390625,5078.18017578125,5078.18017578125,3925950000
2024-02-28,5067.2001953125,5077.3701171875,5058.35009765625,5069.759765625,5069.759765625,3789370000
2024-02-29,5085.35986328125,5104.990234375,5061.89013671875,5096.27001953125,5096.27001953125,5219740000
2024-03-01,5098.509765625,5140.330078125,5094.16015625,5137.080078125,5137.080078125,4748110000
2024-03-04,5130.990234375,5149.669921875,5127.18017578125,5130.9501953125,5130.9501953125,4758440000
2024-03-05,5110.52001953125,5114.5400390625,5056.81982421875,5078.64990234375,5078.64990234375,4418410000
2024-03-06,5108.02978515625,5127.97021484375,5092.22021484375,5104.759765625,5104.759765625,4559050000
2024-03-07,5132.3798828125,5165.6201171875,5128.2099609375,5157.35986328125,5157.35986328125,4137980000
2024-03-08,5164.4599609375,5189.259765625,5117.5,5123.68994140625,5123.68994140625,4208870000
2024-03-11,5111.9599609375,5124.66015625,5091.14013671875,5117.93994140625,5117.93994140625,3896430000
2024-03-12,5134.2998046875,5179.8701171875,5114.47998046875,5175.27001953125,5175.27001953125,4080510000
2024-03-13,5173.490234375,5179.14013671875,5151.8798828125,5165.31005859375,5165.31005859375,4282890000
2024-03-14,5175.14013671875,5176.85009765625,5123.2998046875,5150.47998046875,5150.47998046875,4687970000
2024-03-15,5123.31005859375,5136.85986328125,5104.35009765625,5117.08984375,5117.08984375,7753670000
2024-03-18,5154.77001953125,5175.60009765625,5145.47021484375,5149.419921875,5149.419921875,4036220000
2024-03-19,5139.08984375,5180.31005859375,5131.58984375,5178.509765625,5178.509765625,4031760000
2024-03-20,5181.68994140625,5226.18994140625,5171.5498046875,5224.6201171875,5224.6201171875,4064850000
2024-03-21,5253.43017578125,5261.10009765625,5240.66015625,5241.52978515625,5241.52978515625,4207730000
2024-03-22,5242.47998046875,5246.08984375,5229.8701171875,5234.18017578125,5234.18017578125,3374700000
2024-03-25,5219.52001953125,5229.08984375,5216.08984375,5218.18994140625,5218.18994140625,3331360000
